"ARTIST_ID","FECHA","POPULARITY","NUM_FOLLOWERS"
"0hEurMDQu99nJRq8pTxO14",23/04/20,84,4509014
"2wY79sveU1sp5g7SokKOiI",23/04/20,89,12470609
"4GNC7GD6oZMSxPGyXy4MNB",23/04/20,89,3221726
"1KCSPY1glIKqW2TotWuXOR",23/04/20,83,8425029
"6qqNVTkY8uBg9cP3Jd7DAH",23/04/20,95,24645693
"7gOdHgIoIKoe4i9Tta6qdD",23/04/20,85,3956742
"4npEfmQ6YuiwW1GpUmaq3F",23/04/20,86,1449221
"1Hsdzj7Dlq2I7tHP7501T4",23/04/20,84,5055030
"6M2wZ9GZgrQXHCFfjv46we",23/04/20,95,16473326
"1MIVXf74SZHmTIp4V4paH4",23/04/20,80,716808
"2kRfqPViCqYdSGhYSM9R0Q",23/04/20,81,1827133
"6DgP9otnZw5z6daOntINxp",23/04/20,73,40014
"1HY2Jd0NmPuamShAr6KMms",23/04/20,88,11350386
"3MZsBdqDrRTJihTHQrO6Dq",23/04/20,84,2507755
"1Y8cdNmUJH7yBTd9yOvr5i",23/04/20,75,3983234
"0TImkz4nPqjegtVSMZnMRq",23/04/20,71,2085432
"5cj0lLjcoR7YOSnhnX0Po5",23/04/20,90,1624726
"3TVXtAsR1Inumwj472S9r4",23/04/20,98,46355905
"4r63FhuTkUYltbVAg5TQnk",23/04/20,93,2768548
"3YQKmKGau1PzlVlkL1iodx",23/04/20,87,16817808
"2NjfBq1NflQcKSeiDooVjY",23/04/20,88,1041409
"3FUY2gzHeIiaesXtOAdB7A",23/04/20,77,3237524
"4phGZZrJZRo4ElhRtViYdl",23/04/20,79,5234351
"0C0XlULifJtAgn6ZNCW2eu",23/04/20,80,5296321
"6wPhSqRtPu1UhRCDX5yaDJ",23/04/20,74,3403469
"5ILrArfIV0tMURcHJN8Q07",23/04/20,67,391242
"6Ff53KvcvAj5U7Z1vojB5o",23/04/20,72,1246764
"0p4nmQO2msCgU4IF37Wi3j",23/04/20,79,5755486
"6JMHws5haIO6V35YNYDnDw",23/04/20,63,237488
"07YZf4WDAMNwqr4jfgOZ8y",23/04/20,81,7571765
"4gzpq5DPGxSnKTe4SA8HAU",23/04/20,89,25465615
"0N0d3kjwdY2h7UVuTdJGfp",23/04/20,69,342246
"6jJ0s89eD6GaHleKKya26X",23/04/20,86,15249363
"0du5cEVh5yTK9QJze8zA0C",23/04/20,88,24899468
"7o95ZoZt5ZYn31e9z1Hc0a",23/04/20,68,995264
"3r17AfJCCUqC9Lf0OAc73G",23/04/20,72,3690408
"26dSoYclwsYLMAKD3tpOr4",23/04/20,81,7233585
"3BmGtnKgCSGYIUhmivXKWX",23/04/20,78,6430666
"3vAaWhdBR38Q02ohXqaNHT",23/04/20,71,1794472
"5e4Dhzv426EvQe3aDb64jL",23/04/20,73,1896968
"3QLIkT4rD2FMusaqmkepbq",23/04/20,69,795274
"1pgtr4nhBQjp9oCUBPyYWh",23/04/20,64,107653
"5MmVJVhhYKQ86izuGHzJYA",23/04/20,69,988365
"5MspMQqdVbdwP6ax3GXqum",23/04/20,67,783458
"5DYAABs8rkY9VhwtENoQCz",23/04/20,69,999091
"6DIS6PRrLS3wbnZsf7vYic",23/04/20,72,1564068
"2Hjj68yyUPiC0HKEOigcEp",23/04/20,68,675906
